id_aluno,nome,cpf,fk_id_email,data_nascimento,telefone,cidade,uf,fk_id_turma
1,Amanda Silva,18922004176,1,1986-05-23,98972-6755,Sao Paulo,SP,17
2,Ana Braga,55782908002,3,1986-05-10,96476-2922,Rio de Janeiro,RJ,17
3,Astolfo Mauro,43476587809,4,1986-05-11,98169-2274,Sao Luis,MA,17
4,Barbara Carla,82610928730,5,1986-05-12,98816-2107,Fortaleza,CE,17
5,Cassia Massaro,98109278394,6,1986-05-13,97569-4422,Angra dos Reis,RJ,17
6,Daniel Rodrigo,16293982379,7,1986-05-14,3268-9807,Nova Friburgo,RJ,17
7,Esmeralda Alves,65217809821,9,1986-05-15,2544-6372,Ananindeua,PA,17
8,Fatima Rodrigues,43582602739,10,1986-05-16,98478-9234,Florianopolis,SC,17
9,Fausto Faizao,26192074372,12,1986-05-17,2407-8922,Brasilia,DF,17
10,Guilda Guedes,83920736284,13,1986-05-18,3498-0293,Caxias do Sul,RS,17
11,Herminia Fonseca,26309012387,14,1986-05-19,2683-9378,Porto Velho,RO,17
12,Ignacio Faria,66109217398,16,1986-05-20,2525-8374,Niteroi,RJ,17
13,Jussara Maira,39749297262,17,1986-05-21,2564-9282,Ilheus,BA,17
14,Kleison Carlos,98207183962,18,1986-05-22,98767-9928,Sao Paulo,SP,17
15,Lavinia Meira,28027926202,20,1986-05-23,97878-2245,Florianopolis,SC,17
16,Laura Martins,44819820937,21,1986-05-24,96772-8167,Curitiba,PA,17
17,Clotilde Matos,87299185282,23,1986-05-25,99893-2283,Campo Grande,MT,17
18,Clodoaldo Cloves,99200188932,25,1986-05-26,99890-7178,Palmas,TO,17
19,Getulio Vargas,33298819263,27,1986-05-27,2567-4838,Salvador,BA,17
20,Juscelino Kubschek,27612308497,28,1986-05-28,2294-3892,Fortaleza,CE,17
21,Wachito Luis,66386298622,29,1986-05-29,2293-2839,Paqueta,RJ,17
22,Janio Quadros,89365562863,30,1986-05-30,98767-9923,Campos de Jordao,SP,17
23,Fernando Collor,42866382638,31,1986-05-31,97878-2243,Resende,RJ,17
24,Epitacio Pessoa,14824689303,32,1986-06-01,96772-8337,Teresina,PI,17
25,Cafe Filho,30981573937,33,1986-06-02,99893-2222,Rio de Janeiro,RJ,18
26,Joao Goulart,86399275374,34,1986-06-03,99890-7171,Fortaleza,CE,18
27,Tancredo Neves,86275537765,35,1986-06-04,2227-4838,Maringa,MG,18
28,Jose Sarney,45687635822,37,1986-06-05,2294-3877,Belo Horizonte,MG,18
29,Itamar Franco,36612090734,38,1986-06-06,2293-2877,Aracaju,SE,18
30,Fernando Henrique,73976508739,39,1986-06-07,2867-4838,Recife,PE,18
31,Luis Inacio da Silva,42594790836,41,1986-06-08,2894-3892,Ubatuba,SP,18
32,Dilma Rousseff,27735488638,42,1986-06-09,2293-2839,Volta Redonda,RJ,18
33,Eurico Gaspar Dutra,57920983214,44,1986-06-10,2557-4838,Visconde de Maua,MG,18
34,Tarsila do Amaral,57920983233,45,1986-06-11,2774-3892,Palmas,TO,18
35,Clarice Lispector,57920983777,46,1986-06-12,2883-2839,Joinville,SC,18
36,Lygia Fagundes Telles,57920983244,47,1986-06-13,98972-6722,Belem,PA,18
37,Elis Regina,79209832111,48,1986-06-14,96476-2944,Varzea Grande,MT,18
38,Elza Soares,66676508739,49,1986-06-15,98169-2255,Belem,PA,18
39,Cassia Eller,73971118739,50,1986-06-16,98816-2109,Rio de Janeiro,RJ,18
40,Ludmilla Oliveira,27735488622,51,1986-06-17,97569-4400,Penedo,RJ,18
41,Larissa Anitta,87222007332,54,1986-06-18,3268-9808,Rio de Janeiro,RJ,18
42,Iza Cristina Correira,22311244208,55,1986-06-19,97569-4411,Salvador,BA,18
43,Maria Bethania,47889020111,56,1986-06-20,97569-1192,Macae,RJ,18
44,Liniker de Barros,22390900201,58,1986-06-21,97569-2893,Imperatriz,MA,18
45,Mariana Figueiredo,2089211003,59,1986-06-22,97569-4492,Porto Velho,RO,18
46,Leila Gonzalez,82457330200,60,1986-06-23,97569-4493,Palmas,TO,18
47,Conceicao Evaristo,11093782900,61,1986-06-24,96336-2944,Florianopolis,SC,18
48,Ana Cristina Cesar,13348392893,63,1986-06-25,96556-2944,Petrolina,PE,18
49,Maria Firmina dos Reis,82799300120,64,1986-06-26,96448-2944,Ribeirao das Neves,MG,18
50,Francisca Kahlo,98756632003,65,1986-06-27,96488-2145,Petropolis,RJ,18
