id_email,fk_id_aluno,email
1,1,amandinhasilva99@hotmail.com
2,2,aninhapbraga@hotmail.com
3,2,aninha123braguinha456@yahoo.com.br
4,3,altolfomaurosilvaborges@hotmail.com
5,4,cacaubarbara_2@gmail.com
6,5,cassiadev_22@gmail.com
7,6,rodrigo_daniel28@gmail.com
8,7,esmeralda.alves77@hotmail.com
9,7,esmeralda99gamer7@yahoo.com.br
10,8,fatimarodrigues1@hotmail.com
11,9,fausto_faizao@gmail.com
12,9,faustofaizao992@yahoo.com.br
13,10,guildaggguedes@yahoo.com
14,11,hehe_fonsecasilva@gmail.com
15,11,ignacio_faria@hotmail.com
16,12,ignacioignacioignacio@hotmail.com
17,13,jujumaira2@hotmail.com
18,14,kletinhogames@gmail.com
19,15,laviniamei@gmail.com
20,15,laviniameira@hotmail.com
21,16,lalaland_laura@yahoo.com
22,17,clotilde_matos@hotmail.com
23,17,clotilde.dev@yahoo.com.br
24,18,clovesclodoaldo@hotmail.com
25,18,cloclocloves@yahoo.com.br
26,19,gege_gamer389@yahoo.com.br
27,19,getulioprogramacao@gmail.com
28,20,juju_brasiliaking@hotmail.com
29,21,wachiton_cumpadi@gmail.com
30,22,janioquadros21@hotmail.com
31,23,fernandinhocollor47@hotmail.com
32,24,epitacioamg4@hotmail.com
33,25,devcafefilho@uol.com.br
34,26,jojogoulart@hotmail.com
35,27,nevinho_tancredo@gmail.com
36,28,sarneyjose23@hotmail.com
37,28,saneyzinhoSeuAmiguinho@hotmail.com
38,29,ita_itamar@gmail.com
39,30,fefe_henrique@hotmail.com
40,31,lulinha13@yahoo.com
41,31,lula_lulinhadasilva@hotmail.com
42,32,dilminha13@hotmail.com
43,32,dlima99@bol.com.br
44,33,gasparzinhodutra@gmail.com
45,34,amaral.tata@yahoo.com.br
46,35,claricelili_escritora@hotmail.com
47,36,lygia_prof@hotmail.com
48,37,elis_regina@yahoo.com
49,38,regininha_feliz@hotmail.com
50,39,elzasoares_sanji@gmail.com
51,40,cassinhaeller124@gmail.com
52,41,lud_e_bru@gmail.com
53,42,oli_lud@hotmail.com
54,41,anittapoderosa@gmail.com
55,42,iza_correia21@gmail.com
56,43,bete_maria@gmail.com
57,45,liniker123@gmail.com
58,44,lili_liniker@gmail.com
59,45,marimari_figueiredo2@gmail.com
60,46,gonzalez_leila@yahoo.com
61,47,conceicaoevaristo@oficial.com
62,49,aninha@hotmail.com
63,48,ana_cristinac@gmail.com
64,49,reisfirmina_maria@hotmail.com
65,50,kahio_francisca@gmail.com
